userId,movieId,rating
1,1,4.0
1,3,4.0
1,6,4.0
1,44,5.0
1,47,5.0
1,63,3.0
1,90,5.0
1,98,4.0
1,125,5.0
1,131,5.0
1,137,5.0
1,185,5.0
1,191,3.0
1,198,5.0
1,202,4.0
1,225,5.0
1,258,3.0
1,276,3.0
1,292,5.0
1,308,4.0
1,315,4.0
1,321,5.0
1,326,4.0
1,368,3.0
1,385,4.0
1,399,5.0
1,419,4.0
1,437,3.0
1,462,5.0
1,477,4.0
1,485,4.0
1,486,5.0
1,509,4.0
1,510,4.0
1,511,4.0
1,514,5.0
1,521,5.0
1,547,3.0
1,552,5.0
1,560,3.0
1,593,4.0
1,595,3.0
1,616,3.0
1,633,4.0
1,702,5.0
1,706,5.0
1,721,5.0
1,724,4.0
1,735,5.0
1,768,3.0
1,782,5.0
1,783,5.0
1,784,5.0
1,787,5.0
1,788,3.0
1,789,5.0
1,790,5.0
1,798,4.0
1,802,5.0
1,811,4.0
1,816,5.0
1,821,5.0
1,829,5.0
1,830,4.0
1,832,5.0
1,837,5.0
1,857,4.0
1,864,5.0
1,899,5.0
1,900,5.0
1,901,5.0
1,908,5.0
1,910,4.0
1,912,5.0
1,915,5.0
1,916,4.0
1,921,2.0
1,922,5.0
1,924,5.0
1,926,5.0
1,928,5.0
1,940,5.0
1,956,5.0
1,958,3.0
1,965,4.0
1,970,5.0
1,975,5.0
1,978,5.0
1,982,5.0
1,991,5.0
1,997,5.0
1,1037,4.0
1,1061,3.0
1,1077,3.0
1,1085,3.0
1,1111,3.0
1,1127,4.0
1,1147,4.0
1,1155,5.0
1,1172,4.0
1,1182,5.0
1,1184,3.0
1,1191,5.0
1,1219,5.0
1,1221,4.0
1,1225,5.0
1,1236,3.0
1,1262,3.0
1,1299,5.0
1,1320,4.0
1,1327,4.0
1,1333,5.0
1,1334,4.0
1,1402,4.0
1,1408,5.0
1,1432,5.0
1,1445,4.0
1,1476,4.0
1,1481,5.0
1,1488,4.0
1,1494,5.0
1,1504,4.0
1,1506,5.0
1,1517,4.0
1,1518,5.0
1,1523,4.0
1,1527,5.0
1,1544,5.0
1,1554,5.0
1,1557,3.0
1,1558,5.0
1,1560,4.0
1,1563,4.0
1,1568,4.0
1,1577,5.0
1,1578,5.0
1,1596,5.0
1,1598,5.0
1,1600,5.0
1,1602,4.0
1,1618,5.0
1,1629,4.0
1,1645,4.0
1,1675,2.0
1,1688,4.0
1,1692,4.0
1,1705,5.0
1,1735,5.0
1,1744,2.0
1,1756,5.0
1,1769,4.0
1,1789,5.0
1,1791,2.0
1,1797,5.0
1,1807,4.0
1,1815,3.0
1,1827,5.0
1,1843,4.0
1,1851,5.0
1,1859,5.0
1,1867,4.0
1,1875,4.0
1,1884,5.0
1,1905,3.0
1,1906,5.0
1,1918,5.0
1,1940,5.0
1,1947,5.0
1,1958,5.0
1,1972,4.0
1,1973,2.0
1,1980,4.0
1,1987,4.0
1,1988,5.0
1,1991,4.0
1,1992,4.0
1,1995,5.0
1,1998,3.0
1,2021,5.0
1,2029,5.0
1,2039,5.0
1,2078,5.0
1,2104,4.0
1,2127,4.0
1,2146,5.0
1,2158,5.0
1,2183,5.0
1,2194,4.0
1,2217,5.0
1,2219,5.0
1,2220,5.0
1,2221,5.0
1,2227,5.0
1,2249,4.0
1,2251,5.0
1,2255,5.0
1,2257,5.0
1,2260,4.0
1,2287,5.0
1,2288,5.0
1,2303,5.0
1,2304,5.0
1,2311,4.0
1,2373,5.0
1,2389,4.0
1,2395,1.0
1,2432,3.0
1,2435,3.0
1,2441,5.0
1,2461,5.0
1,2527,5.0
1,2572,4.0
1,2573,4.0
1,2574,5.0
1,2580,5.0
1,2582,5.0
1,2604,4.0
1,2609,4.0
1,2637,4.0
1,2675,5.0
1,2697,4.0
1,2714,4.0
1,2734,5.0
1,2765,5.0
1,2766,5.0
1,2789,5.0
1,2799,4.0
1,2803,4.0
1,2837,5.0
1,2848,4.0
1,2992,4.0
1,3674,5.0
2,278,3.0
2,292,4.0
2,1285,4.5
2,2675,4.0
2,4616,4.0
2,5306,3.5
2,6254,4.0
2,6316,4.0
2,6711,4.5
2,6802,5.0
2,7011,4.5
2,7155,3.0
2,7259,4.0
2,7324,3.0
2,7373,4.0
